"verticles","alpha","beta","antCount","iterations","evaporation","threads","parrarel","best","time","tour"
"40","0.4","0.4","10","50","0.4","2","true","1488.0","91","20 21 36 37 8 30 12 33 38 39 15 14 1 13 24 29 27 35 3 10 31 6 11 25 17 23 18 9 22 32 4 16 5 34 2 7 26 19 28 0 "
"40","0.4","0.4","10","50","0.4","2","false","1529.0","82","14 21 11 6 27 34 20 19 31 1 15 7 38 39 17 18 22 12 3 10 26 8 30 5 36 29 4 13 37 25 9 24 32 16 33 23 28 2 35 0 "
"40","0.4","0.4","10","50","0.5","2","true","1565.0","46","38 30 14 36 21 27 23 20 5 28 34 19 3 32 2 26 18 13 24 8 25 17 11 22 4 12 6 39 35 16 1 33 31 10 15 29 7 37 9 0 "
"40","0.4","0.4","10","50","0.5","2","false","1556.0","49","36 33 27 28 11 38 26 25 16 3 37 21 32 9 34 2 19 17 29 4 15 6 22 13 18 24 5 7 1 10 31 12 35 30 8 39 14 20 23 0 "
"40","0.4","0.4","10","50","0.6","2","true","1456.0","45","14 37 13 24 33 21 27 20 3 30 4 10 38 26 2 31 19 8 6 9 12 1 11 18 28 22 15 35 7 36 34 5 29 25 23 17 16 32 39 0 "
"40","0.4","0.4","10","50","0.6","2","false","1654.0","47","2 23 32 8 31 9 37 28 21 4 14 13 20 30 15 22 39 33 26 7 5 29 25 34 11 18 24 12 10 17 19 16 3 35 1 36 38 6 27 0 "
"40","0.4","0.5","10","50","0.4","2","true","1618.0","49","4 21 27 6 14 18 37 24 8 20 23 5 28 38 13 15 1 16 7 33 34 12 11 36 39 22 9 17 29 26 32 3 30 10 31 19 2 25 35 0 "
"40","0.4","0.5","10","50","0.4","2","false","1503.0","57","14 34 21 7 36 27 23 25 26 38 2 1 20 11 6 39 30 35 33 16 5 19 9 37 31 22 4 32 10 17 13 12 3 15 8 24 18 29 28 0 "
"40","0.4","0.5","10","50","0.5","2","true","1553.0","44","14 12 34 20 27 23 31 22 6 21 38 4 18 26 2 15 39 30 29 16 8 33 7 35 28 10 25 9 36 1 11 37 32 3 19 17 24 5 13 0 "
"40","0.4","0.5","10","50","0.5","2","false","1591.0","45","14 36 21 34 13 31 28 26 15 6 38 19 33 27 10 17 37 23 35 29 3 24 30 12 22 25 20 9 2 39 5 8 11 16 32 7 18 1 4 0 "
"40","0.4","0.5","10","50","0.6","2","true","1548.0","43","23 27 18 31 12 34 30 19 6 14 17 20 2 3 4 16 33 32 28 5 36 35 1 8 37 25 24 29 10 11 26 21 39 9 7 13 22 15 38 0 "
"40","0.4","0.5","10","50","0.6","2","false","1531.0","50","1 23 36 14 5 2 9 24 20 38 35 11 19 33 31 22 32 28 3 39 10 4 17 25 12 15 7 18 26 30 37 34 16 13 8 27 29 21 6 0 "
"40","0.4","0.6","10","50","0.4","2","true","1549.0","44","23 38 14 32 28 37 9 36 3 22 15 7 21 2 39 19 33 34 18 17 4 26 13 30 25 10 31 27 1 29 35 24 6 20 12 11 8 16 5 0 "
"40","0.4","0.6","10","50","0.4","2","false","1370.0","43","27 21 14 1 34 3 20 24 25 10 28 18 12 15 6 39 35 9 37 19 2 13 7 31 22 4 29 33 8 16 23 38 32 26 11 30 5 17 36 0 "
"40","0.4","0.6","10","50","0.5","2","true","1614.0","43","27 19 14 36 24 16 34 23 25 9 4 30 21 18 37 10 39 13 38 2 12 29 8 3 20 7 11 6 1 15 22 35 33 31 32 28 17 5 26 0 "
"40","0.4","0.6","10","50","0.5","2","false","1615.0","43","14 33 38 23 25 37 9 19 18 26 6 27 5 16 22 20 13 24 1 17 36 7 34 3 4 29 15 21 30 32 28 8 12 31 11 2 35 39 10 0 "
"40","0.4","0.6","10","50","0.6","2","true","1577.0","42","14 21 19 38 27 10 6 17 23 1 32 9 20 4 3 16 7 34 5 31 30 12 13 26 2 22 33 24 36 18 39 15 35 37 8 11 28 29 25 0 "
"40","0.4","0.6","10","50","0.6","2","false","1492.0","43","9 4 14 11 21 38 3 36 24 37 34 16 12 35 6 31 5 2 29 13 23 25 33 19 39 7 26 8 28 20 15 1 32 10 17 22 27 30 18 0 "
"40","0.4","1.0","10","50","0.4","2","true","1594.0","44","33 7 14 27 38 37 36 9 21 19 22 6 17 18 13 30 2 25 4 20 16 35 39 15 23 12 34 1 32 5 28 11 3 29 10 31 26 8 24 0 "
"40","0.4","1.0","10","50","0.4","2","false","1612.0","42","14 39 9 35 29 27 23 5 30 7 36 21 4 22 34 19 18 10 16 2 37 1 15 12 26 38 28 24 20 33 31 11 6 13 25 17 32 8 3 0 "
"40","0.4","1.0","10","50","0.5","2","true","1572.0","43","14 12 38 23 27 21 25 22 35 34 29 32 6 17 26 36 3 39 1 15 19 33 31 10 11 7 13 20 8 18 9 24 37 5 28 30 4 2 16 0 "
"40","0.4","1.0","10","50","0.5","2","false","1582.0","43","14 34 21 23 5 1 15 7 4 25 27 33 18 22 11 29 38 35 3 36 17 12 16 32 26 31 10 13 24 30 19 28 6 9 39 2 20 37 8 0 "
"40","0.4","1.0","10","50","0.6","2","true","1555.0","55","14 21 37 38 27 23 36 29 9 16 13 35 8 31 3 32 5 39 34 1 2 4 7 15 12 24 19 10 28 33 6 26 18 11 30 25 17 20 22 0 "
"40","0.4","1.0","10","50","0.6","2","false","1529.0","45","14 25 9 38 18 7 36 16 3 15 2 6 27 20 13 31 19 10 33 24 4 1 21 39 35 12 34 28 22 11 5 17 29 37 8 30 32 23 26 0 "
